Packet,Latency_us,Result
526,398.6,1
527,388.8,1
528,389.3,1
529,531.7,1
530,388.4,1
531,390.6,1
532,396.1,1
533,392.1,1
534,520.7,1
535,393.6,1
536,389.3,1
537,392.1,1
538,527.0,1
539,391.5,1
540,397.4,1
541,389.4,1
542,523.6,1
543,391.1,1
544,394.5,1
545,391.7,1
546,526.7,1
547,385.7,1
548,392.2,1
549,394.5,1
550,521.8,1
551,397.3,1
552,390.4,1
553,390.3,1
554,523.5,1
555,395.1,1
556,391.3,1
557,398.0,1
558,522.0,1
559,394.8,1
560,390.3,1
561,394.0,1
562,523.8,1
563,391.8,1
564,396.9,1
565,386.1,1
566,520.8,1
567,399.0,1
568,388.4,1
569,389.3,1
570,522.6,1
571,395.6,1
572,391.8,1
573,403.1,1
574,515.4,1
575,390.8,1
576,396.8,1
577,398.5,1
578,379.5,1
579,537.9,1
580,393.9,1
581,388.1,1
582,385.3,1
583,525.1,1
584,428.8,1
585,486.7,1
586,391.7,1
587,389.3,1
588,400.7,1
589,388.4,1
590,387.8,1
591,532.2,1
592,387.1,1
593,393.8,1
594,397.7,1
595,517.0,1
596,389.6,1
597,401.1,1
598,386.3,1
599,521.2,1
600,402.0,1
601,387.6,1
602,388.0,1
603,529.0,1
604,390.7,1
605,390.2,1
606,396.7,1
607,522.0,1
608,392.7,1
609,398.0,1
610,387.1,1
611,521.9,1
612,396.8,1
613,388.7,1
614,391.5,1
615,529.5,1
616,526.6,1
617,521.2,1
618,537.1,1
619,500.0,1
620,393.2,1
621,394.1,1
622,391.9,1
623,532.3,1
624,418.9,1
625,528.1,1
626,490.6,1
627,518.1,1
628,524.0,1
629,390.2,1
630,532.5,1
631,390.6,1
632,387.3,1
633,393.7,1
634,526.8,1
635,386.8,1
636,392.5,1
637,399.9,1
638,518.0,1
639,398.8,1
640,390.2,1
641,385.4,1
642,529.9,1
643,392.9,1
644,389.6,1
645,399.8,1
646,517.7,1
647,386.5,1
648,393.8,1
649,404.2,1
650,516.9,1
651,388.3,1
652,394.0,1
653,393.1,1
654,529.8,1
655,391.2,1
656,386.3,1
657,397.8,1
658,524.4,1
659,386.3,1
660,394.9,1
661,396.2,1
662,523.3,1
663,386.2,1
664,394.5,1
665,390.5,1
666,523.4,1
667,400.1,1
668,387.1,1
669,391.9,1
670,523.4,1
671,390.9,1
672,398.0,1
673,395.5,1
674,386.7,1
675,523.3,1
676,395.9,1
677,388.4,1
678,399.0,1
679,523.0,1
680,389.9,1
681,388.9,1
682,524.6,1
683,390.2,1
684,396.9,1
685,395.9,1
686,541.0,1
687,514.2,1
688,511.8,1
689,524.0,1
690,523.9,1
691,389.4,1
692,397.2,1
693,396.7,1
694,515.7,1
695,396.2,1
696,393.3,1
697,388.4,1
698,524.5,1
699,400.1,1
700,384.4,1
701,528.4,1
702,393.8,1
703,388.8,1
704,393.7,1
705,523.9,1
706,387.7,1
707,396.9,1
708,394.9,1
709,518.7,1
710,398.4,1
711,389.6,1
712,388.0,1
713,397.3,1
714,395.1,1
715,518.5,1
716,395.3,1
717,522.1,1
718,387.9,1
719,396.9,1
720,392.8,1
721,519.0,1
722,407.7,1
723,512.5,1
724,390.4,1
725,395.2,1
726,392.5,1
727,387.6,1
728,403.1,1
729,515.3,1
730,390.6,1
731,399.6,1
732,386.9,1
733,520.3,1
734,395.8,1
735,391.3,1
736,391.7,1
737,532.2,1
738,388.7,1
739,387.7,1
740,400.7,1
741,544.6,0
742,498.7,1
743,519.8,1
744,529.7,1
745,387.0,1
746,391.6,1
747,532.6,1
748,388.0,1
749,388.9,1
750,396.4,1
751,521.5,0
752,531.2,1
753,385.9,1
754,388.2,1
755,401.1,1
756,386.9,1
757,391.9,1
758,429.3,1
759,487.7,1
760,531.7,1
761,515.1,1
762,389.7,1
763,399.5,1
764,522.1,1
765,524.8,1
766,517.2,1
767,391.7,1
768,405.5,1
769,383.1,1
770,520.3,1
771,532.4,1
772,521.7,1
773,525.2,1
774,516.3,1
775,392.2,1
776,398.8,1
777,517.2,1
778,398.7,1
779,391.7,1
780,388.0,1
781,397.1,1
782,520.7,1
783,390.1,1
784,398.2,1
785,392.5,1
786,522.5,1
787,388.7,1
788,393.9,1
789,396.1,1
790,518.7,1
791,398.5,1
792,414.5,1
793,508.0,1
794,517.1,1
795,516.1,1
796,392.2,1
797,397.7,1
798,520.2,1
799,527.0,1
800,390.9,1
801,528.4,1
802,391.0,0
803,399.7,1
804,380.8,1
805,525.9,1
806,390.8,1
807,395.6,1
808,397.7,1
809,514.6,1
810,397.0,1
811,393.5,1
812,387.2,1
813,522.9,1
814,400.1,1
815,386.8,1
816,396.8,1
817,523.4,1
818,386.1,1
819,398.1,1
820,393.9,1
821,521.8,1
822,422.3,1
823,494.3,1
824,387.2,1
825,530.5,1
826,522.7,1
827,519.9,1
828,394.2,1
829,545.5,1
830,504.6,1
831,524.0,1
832,539.3,1
833,500.0,1
834,397.4,1
835,394.8,1
836,520.7,1
837,395.6,0
838,391.0,1
839,392.0,1
840,513.3,1
841,391.0,1
842,389.9,1
843,391.9,1
844,523.6,1
845,390.0,1
846,393.3,1
847,406.2,1
848,513.3,1
849,431.1,1
850,490.4,1
851,514.4,1
852,392.3,1
853,394.8,1
854,390.7,1
855,536.2,1
856,513.2,1
857,527.5,1
858,387.9,1
859,522.5,1
860,398.1,1
861,389.4,1
862,391.1,1
863,395.3,1
864,528.6,1
865,383.2,1
866,398.7,1
867,390.1,1
868,521.0,1
869,400.4,1
870,386.3,1
871,389.8,1
872,531.6,1
873,388.0,1
874,390.0,1
875,396.2,1
876,551.1,1
877,496.3,1
878,520.9,1
879,385.4,1
880,421.7,1
881,506.4,1
882,519.6,1
883,521.6,1
884,391.0,1
885,399.7,1
886,388.8,1
887,523.2,1
888,390.0,1
889,392.8,1
890,392.0,1
891,535.2,1
892,385.0,1
893,394.3,1
894,394.0,1
895,520.0,1
896,389.7,1
897,400.2,1
898,392.1,1
899,516.0,1
900,443.4,1
901,472.1,1
902,392.3,1
903,396.9,1
904,392.3,1
905,387.5,1
906,398.7,1
907,389.9,1
908,519.6,1
909,403.1,1
910,387.0,1
911,387.4,1
912,526.1,1
913,392.3,1
914,391.9,1
915,404.5,1
916,515.7,1
917,390.3,1
918,400.0,1
919,385.8,1
920,521.4,1
921,399.8,1
922,388.5,1
923,390.2,1
924,525.2,1
925,393.4,1
926,389.8,1
927,398.8,1
928,517.4,1
929,391.4,1
930,403.8,1
931,387.4,1
932,518.2,1
933,400.7,1
934,387.0,1
935,394.2,1
936,524.8,1
937,389.8,1
938,409.4,1
939,510.9,1
940,518.9,1
941,393.4,0
942,408.3,1
943,508.7,0
944,524.5,1
945,531.4,1
946,385.8,1
947,389.4,1
948,530.9,1
949,387.2,1
950,385.3,1
951,392.6,1
952,531.6,1
953,411.5,1
954,374.7,1
955,382.7,1
956,532.3,1
957,393.3,1
958,406.8,1
959,501.3,1
960,392.0,1
961,402.0,1
962,385.3,1
963,389.5,1
964,534.6,1
965,380.8,1
966,388.5,1
967,395.5,1
968,533.4,1
969,391.8,1
970,386.3,1
971,407.8,1
972,508.3,1
973,396.8,1
974,384.7,1
975,388.8,1
976,537.2,1
977,390.0,1
978,382.8,1
979,414.2,1
980,507.3,1
981,408.2,1
982,510.8,1
983,388.2,1
984,391.7,1
985,385.8,1
986,391.9,1
987,396.2,1
988,526.2,1
989,400.5,1
990,378.8,1
991,398.9,1
992,391.5,1
993,518.1,1
994,401.2,1
995,391.4,1
996,384.7,1
997,538.9,1
998,389.9,1
999,386.3,1
1000,393.1,1
1001,525.9,1
1002,391.1,1
1003,383.1,1
1004,419.7,1
1005,511.2,1
1006,385.2,1
1007,385.7,1
1008,413.0,1
1009,513.3,1
1010,384.1,1
1011,388.4,1
1012,403.2,1
1013,518.8,1
1014,398.3,1
1015,387.9,1
1016,389.9,1
1017,527.9,1
1018,392.6,1
1019,389.6,1
1020,398.3,1
1021,528.4,1
1022,386.0,1
1023,390.8,1
1024,392.2,1
1025,531.6,0
1026,384.9,1
1027,396.9,1
1028,393.7,1
1029,522.5,1
1030,383.2,1
1031,405.4,1
1032,384.4,1
1033,389.3,1
1034,535.2,1
1035,395.0,1
1036,516.2,1
1037,401.2,1
1038,385.7,1
1039,399.2,1
1040,377.1,1
1041,394.5,1
1042,521.9,1
1043,393.2,1
1044,398.4,1
1045,400.0,1
1046,516.3,1
1047,398.3,1
1048,396.1,1
1049,385.1,1
1050,534.2,1
1051,511.1,1
1052,391.6,1
1053,382.5,1
1054,398.8,1
1055,392.6,1
1056,387.8,1
1057,405.1,1
1058,519.4,1
1059,386.3,1
1060,400.5,1
1061,397.1,1
1062,528.1,1
1063,527.9,1
1064,508.8,1
1065,523.3,1
1066,519.7,1
1067,394.4,1
1068,390.8,1
1069,526.9,1
1070,391.3,0
1071,385.3,1
1072,395.5,1
1073,537.7,1
1074,380.0,1
1075,391.7,1
1076,397.7,1
1077,393.6,0
1078,516.7,1
1079,392.6,1
1080,395.1,1
1081,521.7,1
1082,415.5,1
1083,501.3,1
1084,405.1,1
1085,386.3,1
1086,390.7,1
1087,388.2,1
1088,391.5,1
1089,543.6,1
1090,378.5,1
1091,390.7,1
1092,401.0,1
1093,516.0,1
1094,398.2,1
1095,389.8,1
1096,395.1,1
1097,766.9,1
1098,542.1,1
1099,381.3,1
1100,537.6,1
1101,379.2,1
1102,410.5,1
1103,371.7,1
1104,390.2,1
1105,537.8,1
1106,445.4,1
1107,473.3,1
1108,524.2,1
1109,513.5,1
1110,534.8,1
1111,510.8,1
1112,395.0,1
1113,392.4,1
1114,394.2,1
1115,543.9,1
1116,509.4,1
1117,526.4,1
1118,522.6,1
1119,390.7,1
1120,532.7,1
1121,372.8,1
1122,396.0,1
1123,390.1,1
1124,527.1,1
1125,387.0,1
1126,394.9,1
1127,394.7,1
1128,524.2,1
1129,395.2,1
1130,386.5,1
1131,395.7,1
1132,524.7,1
1133,399.6,1
1134,518.2,1
1135,389.9,1
1136,390.1,1
1137,396.7,1
1138,521.8,1
1139,399.8,1
1140,386.1,1
1141,389.6,1
1142,526.9,1
1143,411.3,1
1144,412.3,1
1145,499.3,1
1146,523.4,1
1147,517.5,1
1148,522.2,1
1149,528.3,1
1150,388.7,1
1151,398.1,1
1152,388.7,1
1153,522.1,1
1154,388.4,1
1155,389.7,1
1156,403.8,1
1157,378.1,1
1158,410.7,1
1159,373.7,1
1160,614.2,1
1161,437.3,1
1162,393.5,1
1163,398.0,1
1164,389.9,1
1165,386.7,1
1166,401.3,1
1167,386.4,1
1168,521.6,1
1169,399.7,1
1170,388.2,1
1171,394.3,1
1172,530.3,1
1173,519.1,1
1174,390.0,1
1175,407.1,0
1176,513.0,1
1177,512.4,1
1178,531.4,1
1179,513.9,1
1180,527.1,1
1181,397.9,0
1182,392.4,1
1183,390.8,1
1184,520.9,1
1185,392.2,1
1186,401.9,1
1187,389.3,1
1188,392.0,1
1189,392.4,1
1190,395.0,1
1191,519.5,1
1192,528.4,1
1193,387.1,1
1194,389.3,1
1195,399.7,1
1196,520.2,1
1197,400.4,1
1198,395.0,1
1199,384.3,1
1200,392.5,1
1201,389.8,1
1202,394.8,1
1203,388.8,1
1204,523.4,1
1205,396.5,1
1206,406.2,1
1207,383.8,1
1208,517.2,1
1209,399.2,1
1210,393.1,1
1211,390.9,1
1212,527.8,1
1213,389.4,1
1214,390.4,1
1215,394.5,1
1216,519.8,1
1217,394.0,1
1218,397.5,1
1219,391.0,1
1220,522.2,1
1221,395.5,1
1222,391.7,1
1223,389.6,1
1224,522.4,1
1225,389.7,1
1226,396.7,1
1227,397.1,1
1228,531.8,1
1229,390.7,1
1230,509.2,1
1231,392.1,1
1232,390.2,1
1233,421.3,1
1234,503.5,1
1235,519.1,1
1236,520.5,1
1237,526.2,1
1238,389.6,1
1239,394.3,1
1240,515.3,1
1241,394.7,1
1242,392.6,1
1243,402.5,1
1244,522.6,1
1245,388.4,1
1246,397.1,1
1247,384.3,1
1248,521.3,1
1249,400.8,1
1250,394.0,1
1251,387.4,1
1252,527.8,1
1253,387.4,1
1254,393.4,1
1255,398.3,1
1256,520.3,1
1257,394.2,1
1258,393.2,1
1259,394.1,1
1260,522.1,1
1261,391.7,1
1262,395.0,1
1263,391.4,1
1264,555.3,1
1265,493.1,0
1266,389.1,1
1267,533.4,1
1268,641.4,1
1269,399.1,1
1270,386.5,1
1271,525.0,1
1272,399.2,1
1273,386.9,1
1274,391.0,1
1275,531.4,1
1276,388.1,1
1277,390.9,1
1278,394.8,1
1279,526.7,1
1280,390.6,1
1281,394.3,0
1282,387.4,1
1283,392.3,1
1284,528.1,1
1285,390.1,1
1286,388.6,1
1287,401.3,1
1288,518.5,1
1289,389.0,1
1290,402.0,1
1291,386.4,1
1292,521.3,1
1293,394.7,1
1294,390.0,1
1295,391.5,1
1296,533.3,1
1297,389.9,1
1298,386.9,1
1299,397.1,1
1300,521.7,1
1301,414.0,1
1302,530.8,1
1303,514.5,1
1304,510.9,1
1305,523.1,1
1306,403.8,1
1307,504.2,1
1308,392.7,1
1309,401.4,1
1310,384.1,1
1311,543.9,1
1312,507.6,1
1313,523.1,1
1314,524.2,1
1315,522.1,1
1316,385.9,1
1317,395.2,1
1318,393.0,1
1319,522.6,1
1320,392.4,1
1321,391.3,1
1322,394.4,1
1323,524.2,1
1324,398.3,1
1325,386.6,1
1326,394.9,1
1327,524.4,1
1328,389.0,1
1329,392.3,1
1330,395.2,1
1331,521.8,1
1332,391.5,1
1333,390.0,1
1334,394.7,1
1335,523.9,1
1336,420.2,1
1337,496.0,1
1338,391.1,1
1339,390.6,1
1340,392.8,1
1341,407.3,1
1342,382.2,1
1343,520.0,1
1344,400.2,1
1345,387.7,1
1346,426.0,1
1347,492.2,1
1348,384.6,1
1349,409.5,1
1350,393.2,1
1351,511.8,1
1352,392.4,1
1353,400.0,0
1354,385.5,1
1355,520.3,1
1356,400.3,1
1357,389.0,1
1358,388.8,1
1359,531.9,1
1360,387.3,1
1361,389.1,1
1362,402.6,1
1363,386.1,1
1364,522.1,1
1365,396.0,1
1366,411.3,1
1367,368.2,1
1368,530.3,1
1369,389.3,1
1370,389.9,1
1371,395.7,1
1372,523.4,1
1373,389.1,1
1374,403.7,1
1375,386.3,1
1376,519.7,1
1377,391.8,1
1378,396.5,1
1379,404.7,1
1380,569.7,1
1381,628.1,1
1382,485.5,1
1383,532.5,1
1384,390.4,1
1385,388.7,1
1386,396.2,1
1387,517.9,1
1388,394.4,1
1389,397.1,1
1390,387.2,1
1391,527.3,1
1392,392.8,1
1393,393.4,1
1394,390.7,1
1395,525.3,1
1396,386.6,1
1397,398.1,1
1398,392.2,1
1399,518.6,1
1400,395.4,1
1401,394.5,1
1402,388.1,1
1403,449.0,1
1404,464.5,1
1405,542.3,1
1406,512.1,1
1407,518.0,1
1408,525.2,1
1409,388.3,1
1410,392.2,1
1411,541.3,1
1412,382.4,1
1413,391.5,1
1414,391.5,1
1415,554.1,1
1416,501.8,1
1417,519.2,1
1418,524.9,1
1419,517.0,1
1420,390.6,1
1421,406.6,1
1422,517.1,1
1423,390.2,1
1424,393.5,1
1425,391.7,1
1426,519.2,1
1427,397.0,1
1428,389.3,1
1429,390.7,1
1430,528.8,1
1431,390.0,1
1432,389.8,1
1433,400.2,1
1434,518.8,1
1435,390.2,1
1436,398.9,1
1437,388.9,1
1438,519.3,1
1439,399.3,1
1440,388.6,1
1441,392.1,1
1442,526.6,1
1443,390.2,1
1444,390.5,1
1445,396.0,1
1446,390.7,1
1447,533.4,1
1448,513.2,1
1449,387.9,1
1450,396.9,1
1451,394.0,1
1452,394.3,1
1453,387.5,1
1454,396.5,1
1455,521.5,1
1456,391.6,1
1457,393.4,1
1458,393.4,1
1459,523.6,1
1460,393.8,1
1461,390.2,1
1462,401.2,1
1463,512.7,1
1464,395.6,1
1465,390.1,1
1466,393.3,1
1467,526.7,1
1468,391.0,1
1469,395.5,1
1470,388.3,1
1471,522.9,1
1472,395.5,1
1473,392.3,1
1474,394.4,1
1475,520.8,1
1476,392.8,1
1477,391.1,1
1478,395.3,1
1479,527.0,1
1480,390.5,1
1481,389.2,1
1482,390.5,1
1483,524.8,1
1484,402.1,1
1485,385.9,1
1486,389.6,1
1487,393.2,1
1488,529.8,1
1489,387.2,1
1490,393.8,1
1491,520.7,1
1492,392.2,1
1493,395.7,1
1494,388.9,1
1495,523.2,1
1496,394.5,1
1497,391.7,1
1498,396.4,1
1499,387.1,1
1500,528.5,1
1501,389.3,1
1502,396.0,1
1503,388.1,1
1504,523.2,1
1505,395.0,1
1506,390.5,1
1507,581.7,1
1508,475.9,1
1509,513.2,1
1510,539.9,1
1511,511.4,1
1512,389.0,1
1513,396.2,1
1514,519.8,1
1515,389.1,1
1516,400.1,1
1517,387.4,1
1518,389.9,1
1519,525.6,1
1520,418.2,1
1521,496.2,1
1522,397.4,1
1523,389.0,1
1524,391.4,1
1525,394.6,1
1526,528.2,1
1527,386.1,1
1528,403.8,1
1529,383.1,1
1530,524.9,1
1531,397.0,1
1532,386.8,1
1533,390.0,1
1534,526.4,1
1535,390.0,1
1536,391.2,1
1537,402.1,1
1538,521.0,1
1539,385.8,1
1540,400.3,1
1541,387.1,1
1542,522.2,1
1543,401.5,1
1544,385.4,1
1545,390.7,1
1546,399.4,1
1547,388.1,1
1548,521.2,1
1549,396.9,1
1550,521.0,1
1551,389.5,1
1552,399.0,1
1553,387.9,1
1554,521.1,1
1555,406.1,1
1556,383.9,1
1557,416.3,1
1558,546.6,1
1559,531.1,1
1560,480.6,1
1561,506.1,1
1562,391.4,1
1563,525.1,1
1564,400.7,1
1565,517.8,1
1566,403.2,1
1567,379.4,1
1568,391.2,1
1569,556.8,1
1570,495.3,1
1571,390.1,1
1572,399.0,1
1573,386.7,1
1574,392.4,1
1575,396.0,1
1576,401.9,1
1577,378.6,1
1578,400.5,1
1579,382.9,1
1580,523.4,1
1581,560.9,1
1582,626.8,1
1583,519.3,0
1584,387.1,1
1585,392.1,1
1586,397.3,1
1587,527.7,1
1588,518.3,1
1589,399.9,1
1590,549.7,1
1591,498.2,1
1592,528.0,1
1593,376.9,1
1594,524.1,1
1595,395.8,0
1596,389.5,1
1597,394.9,1
1598,519.3,1
1599,392.5,1
1600,414.1,1
1601,373.6,1
1602,518.7,1
1603,538.2,1
1604,384.3,1
1605,447.3,1
1606,478.4,1
1607,517.7,1
1608,514.4,1
1609,390.6,1
1610,393.1,1
1611,399.6,1
1612,518.5,1
1613,396.3,1
1614,532.0,1
1615,390.7,1
1616,386.1,1
1617,397.2,1
1618,520.9,1
1619,390.5,1
1620,395.6,1
1621,389.9,1
1622,533.2,1
1623,392.9,1
1624,385.3,1
1625,391.4,1
1626,530.3,1
1627,390.9,1
1628,390.4,1
1629,396.7,1
1630,521.4,1
1631,387.6,1
1632,395.6,1
1633,390.1,1
1634,523.9,1
1635,397.0,1
1636,387.3,1
1637,446.1,1
1638,470.9,1
1639,398.1,1
1640,387.3,1
1641,397.0,1
1642,523.6,1
1643,387.4,1
1644,394.2,1
1645,388.9,1
1646,532.5,1
1647,422.6,1
1648,487.8,1
1649,397.7,1
1650,517.7,1
1651,389.2,1
1652,399.9,1
1653,392.6,1
1654,385.7,1
1655,400.6,1
1656,385.4,0
1657,403.9,1
1658,393.9,1
1659,514.2,1
1660,401.0,1
1661,385.6,1
1662,386.5,1
